,ASV60,ASV135,ASV764,ASV366,ASV293,ASV17,ASV466,ASV578,ASV45,ASV792
ENSMUSG00000023274,-0.568731928,-0.259839551,0.329639221,-0.124378948,-0.126424613,-0.294969012,-0.098857602,-0.138829241,-0.302477863,-0.120381276
ENSMUSG00000033220,-0.440675417,-0.278871896,0.208130036,-0.104351446,-0.105667147,-0.221620575,-0.204861948,-0.078260103,-0.138158114,-0.098430093
ENSMUSG00000018012,0.467517179,0.122830313,-0.370025732,0.37940168,0.393839806,0.231496191,0.247829383,0.182820053,0.257372349,0.366311894
ENSMUSG00000025746,-0.468180011,-0.184929382,0.944567042,-0.082139546,-0.085661923,-0.214997385,-0.083899852,-0.076574794,-0.199742587,-0.080768827
ENSMUSG00000020702,-0.51229676,-0.194452956,0.500733192,-0.110679841,-0.112780634,-0.277080018,-0.086986503,-0.10354709,-0.2335944,-0.106726706
ENSMUSG00000029361,0.008482149,-0.177848504,-0.067276249,-0.074080066,-0.071092403,-0.189631652,0.99473834,-0.160684401,-0.216924942,-0.067276249
ENSMUSG00000020826,-0.425048497,-0.221678532,0.869697311,-0.020527425,-0.020707244,-0.266256652,-0.116681021,-0.085022817,-0.201227466,-0.018903629
ENSMUSG00000028978,-0.01556366,0.042308367,-0.427264479,0.371362485,0.370212907,0.193795267,-0.07559948,0.291298359,0.101064626,0.34486954
ENSMUSG00000034617,-0.290820124,0.006291488,-0.050264322,-0.099493583,-0.101866766,0.062248012,-0.261611946,-0.098207549,-0.188829768,-0.09775817
ENSMUSG00000005514,0.500495248,0.363887874,-0.301227517,0.180266711,0.175201424,0.456697671,0.32420411,0.381485371,0.372313354,0.157402485
ENSMUSG00000006471,-0.180569838,-0.42026948,-0.304428827,-0.01984127,-0.012804997,-0.116541325,-0.143738553,-0.068591742,-0.088189775,-0.028185997
ENSMUSG00000056310,-0.553270569,-0.266836576,0.084051544,-0.188008591,-0.189720209,-0.196244852,-0.309462504,-0.090183579,-0.286601193,-0.194846762
ENSMUSG00000020689,-0.565683894,-0.086100403,0.43401878,-0.132814375,-0.139238432,-0.098631785,-0.26284772,0.064381034,-0.152784772,-0.138340905
ENSMUSG00000034664,-0.114411268,-0.080048731,0.463032252,-0.068092775,-0.067946691,0.016479066,-0.333644085,0.012733944,0.203019531,-0.059737682
ENSMUSG00000022817,0.153228601,0.022344818,-0.045177212,0.136824523,0.132986591,0.058719424,-0.529918098,0.137637104,0.245872682,0.126550983
ENSMUSG00000058921,0.74913827,0.615430026,-0.366677639,0.247494318,0.224270959,0.761042683,-0.075890249,0.609696636,0.699314568,0.228422136
ENSMUSG00000051331,0.598259431,0.208313264,-0.255540506,0.007559773,0.016638018,0.072476526,-0.386744023,0.121841741,0.301790233,-0.004542473
