,ASV7,ASV112,ASV113,ASV117,ASV491,ASV800,ASV13,ASV127,ASV581,ASV24,ASV120,ASV1350
metab_3466,0.191963809,0.139587228,0.07915809,0.140063643,0.051036796,0.711714968,0.520136487,0.506763421,0.511744671,0.449143167,0.477008201,0.982749606
metab_1871,0.181589686,0.079256302,0.008597143,0.04382513,0.067896413,0.083015181,0.006309059,0.009731654,0.337466173,0.589145214,0.715151392,0.423999098
metab_682,0.07992443,0.110010334,0.075655126,0.058888893,0.063961513,0.926949709,0.0132324,0.078603006,0.366722508,0.939400581,0.171976181,0.954346274
metab_1137,0.491590502,0.405141358,0.457375134,0.688471088,0.381373522,0.265843151,0.298032784,0.144161692,0.761802559,0.08562945,0.859414319,0.895473605
metab_31,0.209475026,0.101455498,0.113789718,0.124112204,0.098372196,0.918295375,0.01007016,0.025891595,0.636052083,0.867407209,0.120351287,0.812701256
metab_1058,0.250905333,0.170556773,0.691721582,0.548472554,0.901056929,0.856728699,0.323147447,0.219431874,0.339161119,0.004292812,0.549617757,0.304609908
metab_3547,0.591774179,0.586083435,0.94590058,0.609805823,0.339593756,0.219893889,0.744385732,0.157373564,0.906709075,0.022882967,0.683475149,0.801182104
metab_3570,0.161467767,0.126137544,0.09959526,0.156761318,0.405101856,0.918989176,0.290062594,0.196048163,0.278927174,0.185660731,0.935712965,0.969230818
metab_3383,0.223710262,0.755860149,0.470686772,0.276883036,0.880536927,0.373479854,0.983143043,0.982136688,0.729839714,0.745928993,0.941945884,0.528516901
metab_2805,0.777603145,0.900582476,0.734437474,0.713575391,0.659710416,0.100398214,0.915430178,0.484293219,0.656845754,0.040613313,0.640577842,0.681523425
metab_2887,0.130931579,0.47109667,0.325478812,0.232989117,0.250651693,0.192765501,0.371703319,0.279730799,0.924089569,0.455400446,0.396485206,0.941353306
metab_1319,0.471282076,0.728456019,0.634430977,0.984121499,0.599447939,0.060796935,0.905320115,0.560953582,0.241869681,0.016956781,0.938787106,0.557786857
metab_1827,0.775874428,0.47052974,0.639346475,0.458338322,0.297398786,0.113508332,0.434354681,0.984154968,0.729639536,0.343609713,0.716255262,0.934297698
metab_1288,0.28469982,0.598587882,0.967554358,0.800985162,0.815567405,0.054653868,0.558728049,0.367909455,0.506508367,0.017515512,0.943840019,0.469506367
metab_1374,0.435731784,0.525931529,0.423061023,0.654304907,0.926175149,0.587486881,0.421408084,0.212714171,0.731065955,0.205799243,0.824284104,0.311671836
metab_3454,0.052776443,0.023569331,0.051351869,0.06411737,0.120967067,0.803050519,0.134340591,0.134651704,0.423611015,0.111736159,0.623201918,0.714650644
metab_905,0.113185032,0.224203505,0.399249453,0.123402327,0.375304042,0.153960639,0.650513218,0.874743658,0.664159805,0.588928527,0.554882794,0.352360104
metab_2938,0.099833043,0.154114265,0.015099419,0.083217301,0.564028913,0.384217422,0.193504973,0.185918104,0.408107556,0.777303627,0.795100205,0.127781979
