,ASV1,ASV184,ASV182,ASV179,ASV736,ASV186,ASV930,ASV187,ASV737,ASV37,ASV738,ASV760,ASV739,ASV196,ASV38
metab_31,0.468478134,0.173260315,0.049857585,0.804726162,0.804726162,0.949310063,0.158302423,0.804726162,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162,0.804726162,0.441112809
metab_682,0.622787172,0.686030866,0.499253218,0.804726162,0.158302423,0.304558785,0.441112809,0.804726162,0.158302423,0.804726162,0.158302423,0.441112809,0.158302423,0.804726162,0.804726162
metab_1010,0.957154519,0.517700208,0.227783957,0.804726162,0.804726162,0.949310063,0.158302423,0.804726162,0.804726162,0.441112809,0.804726162,0.158302423,0.804726162,0.804726162,0.441112809
metab_1097,0.787172012,0.230732252,0.124789337,0.158302423,0.804726162,0.557699387,0.441112809,0.158302423,0.804726162,0.158302423,0.804726162,0.804726162,0.804726162,0.158302423,0.158302423
metab_1246,0.622787172,0.438739252,0.320632583,0.158302423,0.441112809,0.898736032,0.804726162,0.158302423,0.441112809,0.158302423,0.441112809,0.804726162,0.441112809,0.158302423,0.158302423
metab_1288,0.622787172,0.294583741,0.199660189,0.441112809,0.441112809,0.848393815,0.158302423,0.441112809,0.441112809,0.804726162,0.441112809,0.804726162,0.441112809,0.441112809,0.804726162
metab_1374,0.468478134,0.954475735,0.741733928,0.804726162,0.158302423,0.304558785,0.441112809,0.804726162,0.158302423,0.804726162,0.158302423,0.158302423,0.158302423,0.804726162,0.804726162
metab_1871,0.704,0.230732252,0.083523281,0.804726162,0.804726162,0.949310063,0.441112809,0.804726162,0.804726162,0.158302423,0.804726162,0.441112809,0.804726162,0.804726162,0.158302423
metab_2364,0.544093294,0.60035459,0.354164298,0.158302423,0.804726162,0.267777672,0.158302423,0.158302423,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162,0.158302423,0.441112809
metab_3454,0.544093294,0.60035459,0.320632583,0.441112809,0.804726162,0.798399319,0.158302423,0.441112809,0.804726162,0.804726162,0.804726162,0.158302423,0.804726162,0.441112809,0.804726162
metab_3483,0.622787172,0.438739252,0.17307111,0.804726162,0.804726162,0.949310063,0.158302423,0.804726162,0.804726162,0.441112809,0.804726162,0.158302423,0.804726162,0.804726162,0.441112809
metab_3547,0.704,0.517700208,0.354164298,0.441112809,0.804726162,0.467910199,0.158302423,0.441112809,0.804726162,0.804726162,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162
metab_3973,0.957154519,0.122839463,0.049857585,0.441112809,0.804726162,0.798399319,0.158302423,0.441112809,0.804726162,0.441112809,0.804726162,0.804726162,0.804726162,0.441112809,0.441112809
