,Severe,Middle,Mild
g__Bacillus,0.785663465,0.141681765,5.37755E-05
g__unclassified_f__Enterobacteriaceae,0.051959495,0.179225303,0.182786892
g__Undibacterium,0.030842289,0.162443226,0.078648664
g__Cloacibacterium,0.028778139,0.079070595,0.130206911
g__Sphingomonas,0.022569143,0.097908549,0.101983073
g__Methylobacterium-Methylorubrum,0.019350889,0.091976703,0.08251636
g__Chryseobacterium,0.014366318,0.039702829,0.093978804
g__Pseudomonas,0.001493303,0.015139858,0.09341623
g__Klebsiella,0.009410704,0.041733886,0.046883919
g__Sphingobacterium,0.005729154,0.013220488,0.0386025
Others,0.029812282,0.137896801,0.149917683
