SampleID	Group	Date	Site	Sequencing	Platform	Species	Batch	BarcodeSequence	LinkerPrimerSequence	ReversePrimer
Severe1	Severe	2021-9-30	Qiqihaer			soil	1			
Severe2	Severe	2021-9-30	Qiqihaer			soil	1			
Severe3	Severe	2021-9-30	Qiqihaer			soil	1			
Severe4	Severe	2021-9-30	Qiqihaer			soil	1			
Severe5	Severe	2021-9-30	Qiqihaer			soil	1			
Severe6	Severe	2021-9-30	Qiqihaer			soil	1			
Middle1	Middle	2021-9-30	Qiqihaer			soil	1			
Middle2	Middle	2021-9-30	Qiqihaer			soil	1			
Middle3	Middle	2021-9-30	Qiqihaer			soil	1			
Middle4	Middle	2021-9-30	Qiqihaer			soil	1			
Middle5	Middle	2021-9-30	Qiqihaer			soil	1			
Middle6	Middle	2021-9-30	Qiqihaer			soil	1			
Mild1	Mild	2021-9-30	Qiqihaer			soil	1			
Mild2	Mild	2021-9-30	Qiqihaer			soil	1			
Mild3	Mild	2021-9-30	Qiqihaer			soil	1			
Mild4	Mild	2021-9-30	Qiqihaer			soil	1			
Mild5	Mild	2021-9-30	Qiqihaer			soil	1			
Mild6	Mild	2021-9-30	Qiqihaer			soil	1			
