"","num.edges(L)","num.pos.edges","num.neg.edges","num.vertices(n)","Connectance(edge_density)","average.degree(Average K)","average.path.length","diameter","edge.connectivity","mean.clustering.coefficient(Average.CC)","no.clusters","centralization.degree","centralization.betweenness","centralization.closeness","RM(relative.modularity)","the.number.of.keystone.nodes"
"Severe1",100,71,29,45,0.101010101010101,4.44444444444444,2.97135020135441,7.04722265471577,0,0.511513632566264,2,0.171717171717172,0.258109202924694,NA,0.476121329461116,0
"Severe2",38,16,22,24,0.13768115942029,3.16666666666667,1.53541932528592,3.78065124965783,0,0.615625,4,0.253623188405797,0.0845162399037635,0.770440765624566,0.00763358778625981,0
"Severe3",118,62,56,48,0.104609929078014,4.91666666666667,2.60246907375366,6.15718089271846,0,0.528112131770668,2,0.171985815602837,0.172072105991301,0.981154028598389,0.508856488733583,0
"Severe4",102,71,31,45,0.103030303030303,4.53333333333333,2.69109254625114,5.68701107441193,1,0.472890930208003,1,0.146969696969697,0.193909925107848,0.186077424085752,0.520235261167903,0
"Severe5",96,68,28,43,0.106312292358804,4.46511627906977,2.61410826257503,6.12032951020233,0,0.494125781625782,2,0.155592469545958,0.161183397801293,NA,0.509070655633355,0
"Severe6",45,24,21,28,0.119047619047619,3.21428571428571,3.27280733037209,7.38110700985119,0,0.564761904761905,3,0.177248677248677,0.303049488234673,1.31284259770081,0.26906385616863,0
"Middle1",254,89,165,62,0.134320465362242,8.19354838709677,2.0777337795611,4.28269481517202,1,0.348042613051534,1,0.226335272342676,0.0861088035949007,0.224575585619806,0.975,0
"Middle2",245,95,150,65,0.117788461538462,7.53846153846154,2.1981412724265,4.89538024315564,1,0.349559759412701,1,0.225961538461538,0.0963266281697246,0.247631628081874,0.472241908811717,0
"Middle3",206,82,124,58,0.124621899576528,7.10344827586207,2.24484264173366,4.89538024315564,0,0.364589657734701,2,0.208711433756806,0.106935504661539,NA,0.503872981617789,0
"Middle4",235,91,144,64,0.11656746031746,7.34375,2.25403638373664,5.08814018427875,1,0.365882455385498,1,0.216765873015873,0.134518732923303,0.234226711520233,0.717613056783407,0
"Middle5",222,78,144,62,0.117398202009519,7.16129032258065,2.22867022238218,4.93134811213541,0,0.367941390609734,3,0.194077207826547,0.118344057249396,NA,0.436516155758077,0
"Middle6",210,93,117,54,0.146750524109015,7.77777777777778,2.10226823295637,4.30767904038172,1,0.428504768365449,1,0.230607966457023,0.0815113292747489,0.242611420278147,0.660247286959616,0
"Mild1",303,173,130,61,0.165573770491803,9.9344262295082,1.99023632734533,4.85899485603937,1,0.525970623652716,1,0.16775956284153,0.0985724458740869,0.235860145714319,1.34918976907007,0
"Mild2",297,181,116,60,0.167796610169492,9.9,1.9422078953481,5.09270536247819,0,0.497369755096793,2,0.171186440677966,0.0625174702140626,NA,0.841894335565222,0
"Mild3",297,187,110,58,0.17967332123412,10.2413793103448,1.91462067942581,5.09270536247819,0,0.517417135927271,2,0.188747731397459,0.0689642011544375,NA,1.04599116584125,0
"Mild4",285,183,102,59,0.166569257744009,9.66101694915254,1.97093477994277,4.77370405090749,1,0.483203505619226,1,0.178258328462887,0.0608828469978381,0.236589754836445,0.9539491086071,0
"Mild5",212,171,41,47,0.196114708603145,9.02127659574468,1.90106472477608,4.24528410249744,1,0.580205100158309,1,0.195189639222942,0.0964940981024916,0.249607691736234,0.813510988740843,0
"Mild6",287,149,138,59,0.167738164815897,9.72881355932203,1.9685874455302,5.03298518354007,0,0.518268228628488,2,0.177089421390999,0.120936629110771,NA,1.11162751154816,0
